Fecha,Susceptibles,Expuestos,Confirmados,Recuperados,Defunciones,Activos
01-06-2021,5610153,398,178665,166166,10859,1640
02-06-2021,5610153,401,178781,166306,10868,1607
03-06-2021,5610153,397,178901,166463,10876,1562
04-06-2021,5610153,392,179030,166625,10883,1522
05-06-2021,5610153,396,179148,166681,10892,1575
06-06-2021,5610153,394,179263,166686,10899,1678
07-06-2021,5610153,397,179385,166879,10907,1599
08-06-2021,5610153,399,179512,167061,10913,1538
09-06-2021,5610153,392,179647,167176,10923,1548
10-06-2021,5610153,395,179784,167355,10931,1498
11-06-2021,5610153,396,179884,167407,10936,1541
12-06-2021,5610153,394,180089,167522,10945,1622
13-06-2021,5610153,393,180244,167563,10948,1733
14-06-2021,5610153,398,180391,167742,10952,1697
15-06-2021,5610153,405,180550,167879,10957,1714
16-06-2021,5610153,408,180715,168015,10964,1736
17-06-2021,5610153,406,180877,168194,10972,1711
18-06-2021,5610153,409,181045,168353,10978,1714
19-06-2021,5610153,415,181216,168405,10983,1828
20-06-2021,5610153,402,181382,168436,10989,1957
21-06-2021,5610153,410,181499,168666,10991,1842
22-06-2021,5610153,416,181657,168843,10998,1816
23-06-2021,5610153,418,181824,168990,11005,1829
24-06-2021,5610153,425,181998,169172,11013,1813
25-06-2021,5610153,432,182183,169368,11019,1796
26-06-2021,5610153,437,182376,169372,11024,1980
27-06-2021,5610153,413,182564,169395,11030,2139
28-06-2021,5610153,424,182731,169608,11036,2087
29-06-2021,5610153,429,182930,169790,11042,2098
30-06-2021,5610153,452,183137,169979,11049,2109